Thread ID,Thread Link,Market,Vendor Name,Product/Service Name,Replies,Views,Category,Price,Unit,Payment Method
31,https://hackforums.net/showthread.php?tid=608939,HackForums,babyvamp666 ♥,[MI] Client! Version 2! [*HOT*] [*NEW*] [UDP/SYN/GETDDOS] [ANTIS] & MORE,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
32,https://hackforums.net/showthread.php?tid=4665680,HackForums,Zettabit,[Development Thread] LiteHTTP,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
33,https://hackforums.net/showthread.php?tid=5420472,HackForums,Anna-senpai,"[FREE] World's Largest Net:Mirai Botnet, Client, Echo Loader, CNC source code release",MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
34,https://hackforums.net/showthread.php?tid=2267332,HackForums,Arron XR,☆ ☆ XR ShellBooter V4.0 Free - Source No ShareCash - ILLUMINATI☆ ☆,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
35,https://hackforums.net/showthread.php?tid=55342,HackForums,Brent328,Host Booting / DDoSing Tutorial,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
36,https://hackforums.net/showthread.php?tid=1267382,HackForums,Codevade,Codevade's Massive fugging 2000 Shells List Giveaway[Private/Public],MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
37,https://hackforums.net/showthread.php?tid=2792447,HackForums,Clutch,[NEW]HTTP Bot Pack v2.0 (W/ Setup Instructions),MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
38,https://hackforums.net/showthread.php?tid=314698,HackForums,Unspoken,Free Mass Spreader  -Shown By Unspoken-,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
39,https://hackforums.net/showthread.php?tid=247950,HackForums,iDeMoN,DDoSeR 4.0 Preview,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
40,https://hackforums.net/showthread.php?tid=1604999,HackForums,lollolturd,[FREE] Free Botnet!![FREE],MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
41,https://hackforums.net/showthread.php?tid=2247285,HackForums,Clutch,->>(HOT)[FREE]My HTTP Botnet Pack w/ Pics and Links!!,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
42,https://hackforums.net/showthread.php?tid=281595,HackForums,South Park,★ ★ Blackout DDoSeR V2 - HF's #1 DDoSeR! {NO PORTS} {FUD}{CHEAP}{SECURE} {STABLE}★ ★,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
43,https://hackforums.net/showthread.php?tid=464460,HackForums,иуαя,Mi HostBooter V1.1  [Updated] [Extremely Stable!],MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
44,https://hackforums.net/showthread.php?tid=2674226,HackForums,WarrioR™,vOlk-Botnet 4.0 Private Version (Source VB + PHP),MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
45,https://hackforums.net/showthread.php?tid=3174592,HackForums,.::Illuminati::.,HUGE BOTNET PACK!,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
46,https://hackforums.net/showthread.php?tid=2340278,HackForums,Cute,-HOT- IRC Bot Builders Pack! - Free | Direct Link,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
47,https://hackforums.net/showthread.php?tid=1926160,HackForums,ḐḁṛᶄŞọṇŞ,[Ubers/l33t]***Free Installs***[Ubers/l33t],MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
48,https://hackforums.net/showthread.php?tid=1581588,HackForums,-=WUNDERKIND=-,-=[Free}-ZeroBooter-{Free]=-,MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
49,https://hackforums.net/showthread.php?tid=1218659,HackForums,Adzz,"[OPEN SOURCE] uBOT - HTTP Bot - DL/Exec, Update, Visit, ~10kb Bin [Great Stability]",MANUAL,MANUAL,crimeware,MANUAL,MANUAL,MANUAL
50,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/#,Nulled,Incaa,[10-15%] INCA REFUNDING SERVICE | Amz.it/es High Limits | Fast Response | Digital Orders | AMAZON.FR/DE/AU/COM - BESTBUY - NIKE - ADIDAS - ZALANDO+ - Refunding Services - Nulled,73,4392,CaaS,18%,Per Service,?
51,https://www.nulled.to/topic/887247-upwaves-worldwide-refunds-fixing-failed-orders-rapid-refund-times-great-success-rates-exceptional-customer-support-brilliant-service/#,Nulled,UpWave,UpWave's WORLDWIDE REFUNDS | FIXING FAILED ORDERS | RAPID REFUND TIMES | GREAT SUCCESS RATES | EXCEPTIONAL CUSTOMER SUPPORT | BRILLIANT SERVICE | - Refunding Services - Nulled,73,2144,CaaS,?,Per Service,?
52,https://www.nulled.to/topic/861409-reneboss-worldwide-refunding-service-the-real-boss-of-refunds/#,Nulled,Reneboss,RENEBOSS WORLDWIDE REFUNDING SERVICE [THE REAL BOSS OF REFUNDS] - Refunding Services - Nulled,59,3167,CaaS,?,Per Service,"PayPal, BTC"
53,https://www.nulled.to/topic/814444-jxker-refunds-high-limits-12-low-fee-rolex-watches-stockx-bestbuy-amazon-ssense-mr-porter-nvidia/#,Nulled,JXKER,"JXKER Refunds | HIGH LIMITS | 12% LOW FEE | ROLEX WATCHES, STOCKX, BESTBUY, AMAZON, SSENSE, MR. PORTER, NVIDIA - Refunding Services - Nulled",45,4298,CaaS,12%-20%,Per Service,"PayPal, BTC, ETH"
54,https://www.nulled.to/topic/466734-zooms-refunding-avenue-rolex-€5000-amazon-limits-€2000-bol-all-paypal-stores-20000-limits-automated-website-247-support/#,Nulled,Zoom,ZOOM's REFUNDING AVENUE // ROLEX // €5000 AMAZON LIMITS // €2000 BoL // ALL PAYPAL STORES // $20000 LIMITS // AUTOMATED WEBSITE // 24/7 SUPPORT - Refunding Services - Nulled,1339,332014,CaaS,15%-25%,Per Service,"PayPal, BTC"
55,https://www.nulled.to/topic/770194-the-1-australian-refunder-best-customer-service-10000-limit-electronics-food-99-success-rate/#,Nulled,TheRealDucky,The #1 Australian Refunder | BEST CUSTOMER SERVICE | $10000 LIMIT | ELECTRONICS | FOOD | 99% SUCCESS RATE | - Refunding Services - Nulled,108,6929,CaaS,20%,Per Service,?
56,https://www.nulled.to/topic/889960-nermal-friends-5000€-amazon-limit-dutch-german-stores-oneplus-bestbuy-newegg-zalando-aboutyou-nike/#,Nulled,Nermal,Nermal & Friends |5000€ Amazon Limit| DUTCH & GERMAN STORES | - OnePlus - BestBuy - NewEgg - | Zalando - AboutYou - Nike | - Refunding Services - Nulled,41,5904,CaaS,?,Per Service,"PayPal, BTC, ETH"
57,https://www.nulled.to/topic/902367-1-food-refunding-service-10-deliveroo-uber-eats-doordash-instant-5€-minimum-fee/#,Nulled,ReddysMarket,"#1 FOOD REFUNDING SERVICE | 10% | DELIVEROO, UBER EATS, DOORDASH | INSTANT | 5€ MINIMUM FEE - Refunding Services - Nulled",54,2204,CaaS,10%,Per Service,"PayPal, BTC, Any Crypto"
